INT8,LUT,U(-1,1),128,4096,4096,128x128x16_w4_v12_ms3,OK,ms=0.358,tflops=12.00,gbps=61.5,maxabs=1.237e+00,p99=3.329e-01,rel=4.141e-03
INT8,LUT,U(-1,1),128,4096,4096,128x128x16_w4_v13_rf_v6,OK,ms=0.321,tflops=13.39,gbps=68.6,maxabs=1.237e+00,p99=3.329e-01,rel=4.141e-03
INT8,LUT,U(-1,1),256,4096,4096,128x128x16_w4_v12_ms3,OK,ms=0.360,tflops=23.84,gbps=72.8,maxabs=1.280e+00,p99=3.317e-01,rel=4.140e-03
INT8,LUT,U(-1,1),256,4096,4096,128x128x16_w4_v13_rf_v6,OK,ms=0.320,tflops=26.83,gbps=81.9,maxabs=1.280e+00,p99=3.317e-01,rel=4.140e-03
INT8,LUT,U(-1,1),512,4096,4096,128x128x16_w4_v12_ms3,OK,ms=0.530,tflops=32.40,gbps=65.3,maxabs=1.280e+00,p99=3.339e-01,rel=4.139e-03
INT8,LUT,U(-1,1),512,4096,4096,128x128x16_w4_v13_rf_v6,OK,ms=0.374,tflops=45.92,gbps=92.5,maxabs=1.280e+00,p99=3.339e-01,rel=4.139e-03
INT8,LUT,U(-1,1),1024,4096,4096,128x128x16_w4_v12_ms3,OK,ms=1.051,tflops=32.68,gbps=48.9,maxabs=1.320e+00,p99=3.354e-01,rel=4.141e-03
INT8,LUT,U(-1,1),1024,4096,4096,128x128x16_w4_v13_rf_v6,OK,ms=0.752,tflops=45.68,gbps=68.3,maxabs=1.320e+00,p99=3.354e-01,rel=4.141e-03
INT8,LUT,U(-1,1),2048,4096,4096,128x128x16_w4_v12_ms3,OK,ms=2.069,tflops=33.21,gbps=41.0,maxabs=1.320e+00,p99=3.472e-01,rel=4.143e-03
INT8,LUT,U(-1,1),2048,4096,4096,128x128x16_w4_v13_rf_v6,OK,ms=1.540,tflops=44.64,gbps=55.2,maxabs=1.320e+00,p99=3.472e-01,rel=4.143e-03
